Epochs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
85,2.1442972215657536,1.2571928264447683,1.1562962288041305,1.1416144917073336,1.142328234022077,1.1466765364662546,1.1551415985819526,1.1588516744759565,1.1643462470185628,1.1638654217787034,1.163606966055735,1.157561183276423,1.1602613637486443,1.1613556325761347,1.164628689576283
86,2.1436464331241956,1.2567590455539892,1.1553972539633721,1.1411208819055512,1.1401789281359964,1.1459573692962772,1.1557399239381239,1.1565748510464944,1.163003941792563,1.165994915805879,1.1654474987141203,1.155339696217906,1.1579830741882324,1.160070860320753,1.1666174330035024
87,2.1355422893138813,1.2558581928954966,1.1541606272690748,1.1411658620880334,1.139600413270809,1.1452026914377682,1.1543919700343164,1.1560113250232134,1.1600843329022603,1.1652332683916113,1.1617871305764482,1.154781009330124,1.1575797482005885,1.1600860435454572,1.164938745971076
88,2.1344653388595076,1.2539518420162097,1.153040211373805,1.140733894409761,1.1385808936766706,1.1445019733710367,1.1540221376497237,1.156896027645778,1.1594765923534025,1.1654866244251332,1.1609407347770047,1.1521758242483247,1.1567142596792002,1.1574192972131114,1.1642041148582019
89,2.1273618409947375,1.2495168966456625,1.1523804117421634,1.1397618016258615,1.1376891274151373,1.1432617873441977,1.1549309838833095,1.1547821554329878,1.158924785153619,1.1634439934891336,1.1597016810936571,1.1506953490486962,1.1573788255159971,1.1578681410336105,1.1629960566695383
90,2.1249964958701346,1.2484679775811285,1.1518936644114153,1.137578798581917,1.1367087966461296,1.1423652211173636,1.153670067039512,1.1554638014465082,1.1592334194194132,1.161969099446817,1.1586593857083671,1.151327277642932,1.155529245548561,1.157631344482547,1.1619410719603025
91,2.1272003155236336,1.2510538007826535,1.1506886666496687,1.1378759110100358,1.1374174468681935,1.1424249322687994,1.1519690094833839,1.1537598271187537,1.1585897360230786,1.1620177561002816,1.1601458004770238,1.1492002374136734,1.1549398082983298,1.1548850764342344,1.1624665511818504
92,2.1157157366181774,1.2486484106121167,1.1500364823977898,1.1357389058533376,1.1356103259772137,1.14077675928835,1.1500963645281457,1.1528084726281504,1.157398790744417,1.160375113509578,1.1577108103938007,1.1507111305246438,1.153113917053723,1.1539320059812785,1.1611809286999855
93,2.1135381039761842,1.245398087362557,1.1471280282219345,1.1359088410521887,1.1337747457189697,1.141030231460196,1.1486503682648423,1.1529120608105685,1.1559799157542114,1.159913346694839,1.1572436529285777,1.149869747901474,1.1530066230258003,1.1527165083285889,1.1604900020237743
94,2.116894902304099,1.2450034874601659,1.1490010797558678,1.1361217041254734,1.1345575055374888,1.139544830947626,1.1501901577793687,1.1532559330997572,1.1549459454567166,1.1584947283709077,1.1569214348512196,1.1488773768666714,1.1502401917097997,1.1516036720223766,1.1578957477978784
95,2.112163855219289,1.2424046815201668,1.1466368154842903,1.134913752715866,1.133854673356484,1.1387364629839287,1.1513586921833106,1.150536516911345,1.1545364378265501,1.1582347806499491,1.1548775303486845,1.1495701412835908,1.15126675801199,1.1541292400307994,1.1565465792025826
96,2.1103578650111587,1.2397973678585392,1.1466233634278702,1.1343632038671922,1.1327623483617093,1.13786716050789,1.1497998718607685,1.1494720098099422,1.1562681344351977,1.1593996456691198,1.1552470407850755,1.1460652400987295,1.1499553126976139,1.151071554324666,1.1572526226872983
97,2.1048866909164,1.2374650207373614,1.1470769146845547,1.1341765068306182,1.1331770423035448,1.137488025133727,1.149613370913037,1.1491916186171152,1.152464186390488,1.1593209147732486,1.1551584772580163,1.1451565333903964,1.1485602351485706,1.1510552903993534,1.155646829543926
98,2.1005626309483145,1.2362476913003975,1.1466814448738545,1.13356371492636,1.1305633400781085,1.1387670430980745,1.1468425145356003,1.148157032721681,1.1539943357050386,1.1574182619255655,1.1544873167980636,1.146127705766454,1.1463417917001444,1.1503500332597827,1.1555264005470685
99,2.0951135872632567,1.2356737654500103,1.144146822124231,1.132887717613029,1.1331965910280988,1.1372175421871122,1.146027410017757,1.1483686956551558,1.153481329781245,1.1558552852000787,1.1544311325985805,1.144305260755676,1.1482798772561746,1.1490218776171324,1.155625537983112
100,2.097796822523828,1.2351106856907217,1.1441112206747157,1.1322807126472862,1.1313967220355667,1.1356878280639648,1.1466734386637751,1.1467722352085217,1.1511880358172515,1.1553563739432664,1.1534843952205591,1.1438306270902425,1.1476465665707822,1.1484574144655237,1.1546739395057315
